env_step,avg_eval_return
108,9.714286
210,13.566667
329,17.565218
448,28.333334
554,44.77778
676,34.833332
815,36.166668
915,25.5
1018,34.583332
1128,31.538462
1243,28.2
1353,27.866667
1464,28.8
1595,44.2
1699,40.5
1820,41.7
1956,53.25
2074,101.0
2243,46.333332
2376,45.22222
2516,53.5
2640,44.77778
2796,40.5
2967,68.14286
3113,51.625
3248,70.666664
3397,55.0
3513,60.142857
3642,69.57143
3744,60.57143
3926,105.25
4032,56.0
4262,77.166664
4392,54.875
4607,74.666664
4798,66.85714
4935,80.2
5122,50.125
5275,47.333332
5392,50.0
5562,48.88889
5681,71.5
5822,57.142857
5944,82.4
6082,105.75
6243,69.14286
6353,74.166664
6529,68.0
6690,63.714287
6846,40.0
6973,61.0
7117,66.666664
7241,82.4
7403,102.0
7534,171.66667
7714,250.0
7905,421.0
8869,252.0
9043,149.0
9205,149.33333
9355,157.33333
9473,170.66667
9609,84.2
9925,69.833336
10042,209.33333
10386,110.75
10659,102.25
11198,231.0
11342,173.33333
11518,258.5
11804,192.5
11981,162.66667
12520,181.0
12893,230.0
13028,232.66667
13220,439.0
13349,278.5
13489,439.5
13633,1000.0
13748,320.5
14423,1000.0
15063,662.0
16063,1000.0
17063,1000.0
18063,1000.0
19063,696.0
19921,759.0
20921,1000.0
21921,1000.0
22921,1000.0
23921,1000.0
24921,671.0
25921,1000.0
26921,1000.0
27921,1000.0
28921,1000.0
29462,241.5
29668,1000.0
30668,1000.0
31668,1000.0
