env_step,avg_eval_return
100,14.689655
203,13.333333
312,17.608696
417,27.666666
531,23.61111
658,26.666666
766,39.363636
870,37.18182
1015,29.785715
1115,22.95
1223,21.105263
1355,33.846153
1470,25.705883
1570,27.1875
1686,24.647058
1793,21.421053
1921,21.68421
2031,22.789474
2138,22.333334
2261,27.2
2368,38.909092
2505,46.333332
2620,46.666668
2754,41.5
2888,40.5
2995,40.833332
3099,38.083332
3223,42.8
3332,40.0
3433,44.88889
3604,45.77778
3729,59.375
3848,54.75
3959,81.6
4093,97.4
4204,68.0
4344,41.1
4446,43.4
4561,42.727272
4664,32.153847
4776,40.9
4893,60.375
5030,45.333332
5175,78.5
5304,51.75
5430,86.2
5531,79.166664
5656,59.142857
5807,36.666668
5934,47.444443
6055,50.625
6168,74.666664
6296,72.333336
6431,91.2
6558,133.75
6726,114.75
6922,124.5
7039,127.25
7178,134.0
7303,204.5
7537,180.33333
7665,259.5
7813,220.0
8032,390.0
8257,293.0
8540,447.0
8714,543.0
8909,177.25
9116,143.0
9245,67.0
9507,50.625
9615,59.285713
9735,47.555557
9844,37.909092
9963,34.5
10067,33.46154
10177,36.454544
10324,33.75
10427,71.0
10562,45.11111
10677,86.0
10795,83.8
10970,186.0
11194,248.0
11424,234.5
11717,1000.0
12717,1000.0
13717,1000.0
14717,1000.0
15717,541.0
16556,40.666668
16841,1000.0
17178,436.0
17513,187.0
17723,165.66667
17874,140.33333
18026,203.66667
18234,1000.0
18881,1000.0
19881,1000.0
