env_step,avg_eval_return
3,105,14.066667
3,212,15.037037
3,336,20.15
3,438,33.692307
3,548,38.090908
3,660,50.375
3,803,45.0
3,923,38.090908
3,1065,37.545456
3,1172,32.923077
3,1278,36.81818
3,1389,45.555557
3,1536,41.6
3,1636,41.8
3,1744,59.0
3,1901,53.0
3,2049,52.125
3,2171,45.0
3,2344,67.0
3,2503,84.14286
3,2628,171.0
3,2817,96.0
3,2948,68.5
3,3107,73.833336
3,3258,73.333336
3,3417,74.166664
3,3587,90.2
3,3746,81.0
3,3899,75.333336
3,4040,73.166664
3,4206,101.0
3,4470,137.33333
3,4629,86.666664
3,4764,74.666664
3,4920,58.57143
3,5026,67.833336
3,5159,46.666668
3,5278,60.0
3,5382,62.0
3,5507,146.66667
3,5624,230.0
3,5727,166.66667
3,5932,89.0
3,6121,80.4
3,6308,90.6
3,6460,101.5
3,6651,140.0
3,6784,309.0
3,7535,531.5
3,8535,408.0
3,8917,602.0
3,9223,115.0
3,9410,126.75
3,9560,324.5
3,10014,206.0
3,10354,295.0
3,10539,304.0
3,10952,444.0
3,11952,517.5
3,12879,167.33333
3,13131,59.42857
3,13262,43.2
3,13372,36.909092
3,13497,42.3
3,13604,37.636364
3,13738,48.555557
3,13852,46.666668
3,13988,44.0
3,14111,48.77778
3,14234,52.625
3,14369,62.142857
3,14483,57.857143
3,14637,50.75
3,14775,54.625
3,14881,46.88889
3,15013,58.57143
3,15148,57.42857
3,15279,63.75
3,15380,77.833336
3,15483,104.5
3,15713,78.666664
3,15846,85.8
3,15990,121.0
3,16115,121.75
3,16241,107.5
3,16527,128.5
3,16693,152.0
3,16851,348.5
3,17743,880.0
3,18414,1000.0
3,19414,1000.0
3,20414,1000.0
3,21414,1000.0
3,22414,1000.0
3,23414,1000.0
3,24414,1000.0
3,25414,1000.0
3,26414,1000.0
3,27414,1000.0
3,28414,1000.0
