seed,env_step,avg_eval_return
2,103,12.088235
2,206,25.0
2,309,9.829268
2,418,12.454545
2,532,24.705883
2,641,27.6
2,766,13.5161295
2,877,16.36
2,1007,45.333332
2,1115,40.454544
2,1250,41.9
2,1393,36.5
2,1529,46.0
2,1729,42.1
2,1869,48.22222
2,2038,46.0
2,2217,44.666668
2,2350,71.666664
2,2483,60.0
2,2621,50.22222
2,2825,61.714287
2,2962,77.166664
2,3105,73.0
2,3233,76.0
2,3343,83.6
2,3479,94.0
2,3605,69.166664
2,3737,57.625
2,3841,50.25
2,3954,36.363636
2,4064,38.272728
2,4209,46.77778
2,4360,61.57143
2,4492,101.25
2,4712,84.2
2,4855,85.6
2,5057,73.833336
2,5197,61.285713
2,5317,93.2
2,5478,138.33333
2,5673,184.0
2,5883,110.5
2,6092,516.0
2,6243,129.8
2,6686,138.0
2,6843,431.5
2,7238,697.0
2,7494,531.0
2,7942,457.5
2,8499,1000.0
2,9078,1000.0
2,10078,1000.0
2,11078,1000.0
2,12078,1000.0
2,13078,580.0
2,14078,858.0
2,15078,174.66667
2,15232,1000.0
2,15828,1000.0
2,16330,1000.0
2,17330,1000.0
2,18330,1000.0
2,19330,1000.0
2,20330,1000.0
2,21330,1000.0
2,22330,1000.0
2,23330,1000.0
2,24330,1000.0
2,25330,1000.0
2,26330,1000.0
2,27330,1000.0
2,28330,1000.0
2,29330,1000.0
2,30330,1000.0
2,31330,1000.0
2,32330,1000.0
2,33330,1000.0
2,34330,1000.0
2,35330,1000.0
2,36330,1000.0
2,37330,1000.0
2,38330,1000.0
2,39330,1000.0
2,40330,1000.0
2,41330,1000.0
2,42330,545.0
2,42844,1000.0
2,43844,1000.0
2,44844,1000.0
2,45844,1000.0
2,46844,1000.0
2,47844,1000.0
2,48844,1000.0
2,49844,1000.0
2,50844,1000.0
2,51623,1000.0
2,52623,1000.0
2,53623,1000.0
2,54623,1000.0
2,55623,1000.0
