seed,env_step,avg_eval_return
2,102,8.04
2,203,7.2727275
2,303,8.782609
2,408,9.272727
2,508,10.918919
2,623,19.285715
2,753,23.421053
2,879,29.285715
2,993,23.88889
2,1102,27.066668
2,1220,20.9
2,1336,18.636364
2,1450,17.125
2,1555,19.095238
2,1667,26.0625
2,1785,23.705883
2,1932,27.866667
2,2059,22.666666
2,2181,22.31579
2,2291,29.714285
2,2400,65.57143
2,2547,44.444443
2,2677,47.0
2,2810,69.28571
2,2929,52.625
2,3040,59.142857
2,3149,76.833336
2,3254,94.8
2,3406,85.666664
2,3562,80.4
2,3728,73.666664
2,3911,60.857143
2,4013,80.333336
2,4114,60.0
2,4302,44.666668
2,4423,46.333332
2,4533,48.22222
2,4648,37.545456
2,4789,47.88889
2,4953,58.57143
2,5071,77.666664
2,5190,67.0
2,5346,53.75
2,5527,53.5
2,5633,81.5
2,5745,59.285713
2,5906,77.14286
2,6017,105.25
2,6128,94.6
2,6251,122.25
2,6378,174.66667
2,6555,200.0
2,6740,173.0
2,6922,100.0
2,7085,116.25
2,7232,125.25
2,7336,128.0
2,7519,266.5
2,7623,140.66667
2,7745,204.5
2,8021,233.5
2,8562,85.833336
2,8850,271.0
2,8966,140.66667
2,9080,420.0
2,9419,299.0
2,9577,128.25
2,9758,332.5
2,9900,133.25
2,10035,80.8
2,10220,58.42857
2,10361,55.625
2,10470,47.11111
2,10610,48.0
2,10753,57.57143
2,10868,53.125
2,10984,85.0
2,11084,126.5
2,11236,196.66667
2,11400,138.66667
2,11506,123.75
2,11623,140.66667
2,11805,305.5
2,11970,142.0
2,12129,56.5
2,12277,101.0
2,12434,66.0
2,12652,49.555557
2,12791,50.11111
2,12935,61.57143
2,13067,71.5
2,13259,133.8
2,13359,492.0
2,14359,1000.0
2,15359,1000.0
2,16359,1000.0
2,17359,1000.0
2,18359,1000.0
2,19359,1000.0
2,20359,1000.0
